"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"602",117,39,16,16,TRUE,"2020-10-17T14:00:00Z",3,3,5,89,2,1,0,2,0,0,0,0,0,0,3,63,"81.0","15.4","64.0","16.0",93,-433994,1418242,63666,497660,"Timo Werner"
"603",118,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",75,0,278989,0,0,"Tammy Abraham"
"604",118,11,11,1,TRUE,"2020-09-20T15:30:00Z",0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,3,"5.0","0.0","17.0","2.2",74,-70539,227720,4713,75252,"Tammy Abraham"
"605",118,27,18,6,FALSE,"2020-09-26T16:30:00Z",3,3,3,90,1,0,0,3,0,0,0,0,0,0,0,23,"29.6","4.2","45.0","7.9",73,-57625,178418,5515,63140,"Tammy Abraham"
"606",118,31,6,5,TRUE,"2020-10-03T11:30:00Z",4,0,4,90,0,1,1,0,0,0,0,0,0,0,0,12,"7.4","11.3","51.0","7.0",73,-3107,185520,16716,19823,"Tammy Abraham"
"607",118,39,16,1,TRUE,"2020-10-17T14:00:00Z",3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,3,"0.0","0.0","0.0","0.0",73,2211,194958,23517,21306,"Tammy Abraham"
"608",119,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",85,0,650190,0,0,"Christian Pulisic"
"609",119,11,11,0,TRUE,"2020-09-20T15:30:00Z",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",84,-322911,367635,28655,351566,"Christian Pulisic"
"610",119,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",83,-170911,207071,7561,178472,"Christian Pulisic"
"611",119,31,6,1,TRUE,"2020-10-03T11:30:00Z",4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,7,"5.4","0.3","0.0","0.6",83,-32278,182756,14895,47173,"Christian Pulisic"
"612",119,39,16,2,TRUE,"2020-10-17T14:00:00Z",3,3,5,86,0,0,0,2,0,0,0,0,0,0,0,6,"12.4","12.2","28.0","5.3",83,97839,299458,133339,35500,"Christian Pulisic"
